data,regione,classe_numero_casi
20-02-17,Piemonte,1-10
20-02-17,Valle Aosta,1-10
20-05-18,Valle Aosta,1-10
20-05-25,Valle Aosta,1-10
20-06-01,Valle Aosta,1-10
20-06-08,Valle Aosta,1-10
20-06-15,Valle Aosta,1-10
20-06-22,Valle Aosta,1-10
20-06-29,Valle Aosta,1-10
20-07-13,Valle Aosta,1-10
20-08-03,Valle Aosta,1-10
20-08-10,Valle Aosta,1-10
20-08-17,Valle Aosta,1-10
20-08-31,Valle Aosta,1-10
21-06-28,Valle Aosta,1-10
21-07-05,Valle Aosta,1-10
20-02-24,PA Bolzano,1-10
20-05-18,PA Bolzano,1-10
20-05-25,PA Bolzano,1-10
20-06-01,PA Bolzano,1-10
20-06-08,PA Bolzano,1-10
20-06-22,PA Bolzano,1-10
20-06-29,PA Bolzano,1-10
20-07-06,PA Trento,1-10
20-07-13,PA Trento,1-10
20-08-10,PA Trento,1-10
20-06-15,Friuli,1-10
20-06-22,Friuli,1-10
20-07-06,Friuli,1-10
20-02-24,Umbria,1-10
20-05-11,Umbria,1-10
20-05-18,Umbria,1-10
20-05-25,Umbria,1-10
20-06-01,Umbria,1-10
20-06-08,Umbria,1-10
20-06-15,Umbria,1-10
20-06-22,Umbria,1-10
20-06-29,Umbria,1-10
20-07-06,Umbria,1-10
20-07-13,Umbria,1-10
20-07-20,Umbria,1-10
20-06-22,Marche,1-10
20-06-29,Marche,1-10
20-07-13,Marche,1-10
20-02-24,Abruzzo,1-10
20-06-15,Abruzzo,1-10
20-06-22,Abruzzo,1-10
20-03-09,Molise,1-10
20-04-27,Molise,1-10
20-05-18,Molise,1-10
20-05-25,Molise,1-10
20-06-01,Molise,1-10
20-06-08,Molise,1-10
20-06-15,Molise,1-10
20-06-22,Molise,1-10
20-07-06,Molise,1-10
20-07-27,Molise,1-10
20-08-03,Molise,1-10
21-06-28,Molise,1-10
20-02-24,Puglia,1-10
20-06-08,Puglia,1-10
20-06-15,Puglia,1-10
20-06-22,Puglia,1-10
20-06-29,Puglia,1-10
20-07-06,Puglia,1-10
20-03-02,Basilicata,1-10
20-05-04,Basilicata,1-10
20-05-11,Basilicata,1-10
20-05-18,Basilicata,1-10
20-05-25,Basilicata,1-10
20-06-01,Basilicata,1-10
20-06-08,Basilicata,1-10
20-06-22,Basilicata,1-10
20-06-29,Basilicata,1-10
20-07-06,Basilicata,1-10
20-07-13,Basilicata,1-10
20-07-27,Basilicata,1-10
20-08-10,Basilicata,1-10
20-02-24,Calabria,1-10
20-05-11,Calabria,1-10
20-05-18,Calabria,1-10
20-05-25,Calabria,1-10
20-06-01,Calabria,1-10
20-06-08,Calabria,1-10
20-06-22,Calabria,1-10
20-06-29,Calabria,1-10
20-07-20,Calabria,1-10
20-02-24,Sicilia,1-10
21-07-12,Sicilia,1-10
20-02-24,Sardegna,1-10
20-05-11,Sardegna,1-10
20-05-18,Sardegna,1-10
20-05-25,Sardegna,1-10
20-06-01,Sardegna,1-10
20-06-08,Sardegna,1-10
20-06-15,Sardegna,1-10
20-06-22,Sardegna,1-10
20-06-29,Sardegna,1-10
20-07-06,Sardegna,1-10
20-07-13,Sardegna,1-10
20-07-20,Sardegna,1-10
20-02-24,Piemonte,11-50
20-07-13,Piemonte,11-50
20-03-02,Valle Aosta,11-50
20-04-20,Valle Aosta,11-50
20-04-27,Valle Aosta,11-50
20-05-04,Valle Aosta,11-50
20-05-11,Valle Aosta,11-50
20-07-27,Valle Aosta,11-50
20-08-24,Valle Aosta,11-50
20-09-07,Valle Aosta,11-50
20-09-14,Valle Aosta,11-50
20-09-21,Valle Aosta,11-50
20-09-28,Valle Aosta,11-50
21-05-31,Valle Aosta,11-50
21-06-07,Valle Aosta,11-50
21-06-14,Valle Aosta,11-50
21-06-21,Valle Aosta,11-50
20-03-02,PA Bolzano,11-50
20-04-27,PA Bolzano,11-50
20-05-04,PA Bolzano,11-50
20-05-11,PA Bolzano,11-50
20-06-15,PA Bolzano,11-50
20-07-06,PA Bolzano,11-50
20-07-13,PA Bolzano,11-50
20-07-20,PA Bolzano,11-50
20-07-27,PA Bolzano,11-50
20-08-03,PA Bolzano,11-50
20-08-10,PA Bolzano,11-50
21-06-21,PA Bolzano,11-50
21-06-28,PA Bolzano,11-50
20-03-02,PA Trento,11-50
20-05-25,PA Trento,11-50
20-06-01,PA Trento,11-50
20-06-08,PA Trento,11-50
20-06-15,PA Trento,11-50
20-06-22,PA Trento,11-50
20-06-29,PA Trento,11-50
20-07-27,PA Trento,11-50
20-08-03,PA Trento,11-50
20-08-17,PA Trento,11-50
21-06-14,PA Trento,11-50
21-06-21,PA Trento,11-50
21-06-28,PA Trento,11-50
21-07-05,PA Trento,11-50
20-02-17,Veneto,11-50
20-06-01,Veneto,11-50
20-06-08,Veneto,11-50
20-06-15,Veneto,11-50
20-06-22,Veneto,11-50
20-02-24,Friuli,11-50
20-05-18,Friuli,11-50
20-05-25,Friuli,11-50
20-06-01,Friuli,11-50
20-06-08,Friuli,11-50
20-06-29,Friuli,11-50
20-07-13,Friuli,11-50
20-07-20,Friuli,11-50
20-07-27,Friuli,11-50
20-08-03,Friuli,11-50
20-06-08,Liguria,11-50
20-06-22,Liguria,11-50
20-06-29,Liguria,11-50
20-07-06,Liguria,11-50
21-06-21,Liguria,11-50
20-02-17,Emilia,11-50
20-02-24,Toscana,11-50
20-05-25,Toscana,11-50
20-06-01,Toscana,11-50
20-06-08,Toscana,11-50
20-06-15,Toscana,11-50
20-06-22,Toscana,11-50
20-07-06,Toscana,11-50
20-07-13,Toscana,11-50
20-03-02,Umbria,11-50
20-04-13,Umbria,11-50
20-04-20,Umbria,11-50
20-04-27,Umbria,11-50
20-05-04,Umbria,11-50
20-07-27,Umbria,11-50
20-08-03,Umbria,11-50
20-08-10,Umbria,11-50
20-02-24,Marche,11-50
20-05-18,Marche,11-50
20-05-25,Marche,11-50
20-06-01,Marche,11-50
20-06-08,Marche,11-50
20-06-15,Marche,11-50
20-07-06,Marche,11-50
20-07-20,Marche,11-50
20-02-24,Lazio,11-50
20-03-02,Abruzzo,11-50
20-05-18,Abruzzo,11-50
20-05-25,Abruzzo,11-50
20-06-01,Abruzzo,11-50
20-06-08,Abruzzo,11-50
20-06-29,Abruzzo,11-50
20-07-06,Abruzzo,11-50
20-07-13,Abruzzo,11-50
20-07-20,Abruzzo,11-50
20-07-27,Abruzzo,11-50
20-03-02,Molise,11-50
20-03-16,Molise,11-50
20-04-06,Molise,11-50
20-04-13,Molise,11-50
20-04-20,Molise,11-50
20-05-11,Molise,11-50
20-07-20,Molise,11-50
20-08-10,Molise,11-50
20-08-17,Molise,11-50
20-08-24,Molise,11-50
20-08-31,Molise,11-50
20-09-07,Molise,11-50
20-09-14,Molise,11-50
20-09-21,Molise,11-50
20-09-28,Molise,11-50
21-05-17,Molise,11-50
21-05-24,Molise,11-50
21-05-31,Molise,11-50
21-06-07,Molise,11-50
21-06-14,Molise,11-50
21-06-21,Molise,11-50
21-07-05,Molise,11-50
20-02-24,Campania,11-50
20-06-01,Campania,11-50
20-06-08,Campania,11-50
20-06-15,Campania,11-50
20-07-06,Campania,11-50
20-03-02,Puglia,11-50
20-05-25,Puglia,11-50
20-06-01,Puglia,11-50
20-07-13,Puglia,11-50
20-07-20,Puglia,11-50
20-03-09,Basilicata,11-50
20-04-06,Basilicata,11-50
20-04-13,Basilicata,11-50
20-04-20,Basilicata,11-50
20-04-27,Basilicata,11-50
20-07-20,Basilicata,11-50
20-08-03,Basilicata,11-50
20-08-17,Basilicata,11-50
20-08-24,Basilicata,11-50
20-08-31,Basilicata,11-50
20-09-14,Basilicata,11-50
20-03-02,Calabria,11-50
20-04-20,Calabria,11-50
20-04-27,Calabria,11-50
20-05-04,Calabria,11-50
20-06-15,Calabria,11-50
20-07-06,Calabria,11-50
20-07-13,Calabria,11-50
20-07-27,Calabria,11-50
20-08-03,Calabria,11-50
20-08-17,Calabria,11-50
20-05-11,Sicilia,11-50
20-05-18,Sicilia,11-50
20-05-25,Sicilia,11-50
20-06-01,Sicilia,11-50
20-06-08,Sicilia,11-50
20-06-15,Sicilia,11-50
20-06-22,Sicilia,11-50
20-06-29,Sicilia,11-50
20-07-06,Sicilia,11-50
20-07-13,Sicilia,11-50
20-03-02,Sardegna,11-50
20-04-20,Sardegna,11-50
20-04-27,Sardegna,11-50
20-05-04,Sardegna,11-50
20-07-27,Sardegna,11-50
20-08-03,Sardegna,11-50
20-06-01,Piemonte,51-100
20-06-08,Piemonte,51-100
20-06-15,Piemonte,51-100
20-06-22,Piemonte,51-100
20-06-29,Piemonte,51-100
20-07-06,Piemonte,51-100
20-07-20,Piemonte,51-100
20-07-27,Piemonte,51-100
20-08-03,Piemonte,51-100
21-06-28,Piemonte,51-100
21-07-05,Piemonte,51-100
20-03-09,Valle Aosta,51-100
20-03-23,Valle Aosta,51-100
20-04-06,Valle Aosta,51-100
20-04-13,Valle Aosta,51-100
20-10-05,Valle Aosta,51-100
20-12-07,Valle Aosta,51-100
20-12-14,Valle Aosta,51-100
20-12-21,Valle Aosta,51-100
20-12-28,Valle Aosta,51-100
21-01-04,Valle Aosta,51-100
21-01-11,Valle Aosta,51-100
21-01-18,Valle Aosta,51-100
21-01-25,Valle Aosta,51-100
21-02-01,Valle Aosta,51-100
21-02-08,Valle Aosta,51-100
21-02-15,Valle Aosta,51-100
21-02-22,Valle Aosta,51-100
21-03-01,Valle Aosta,51-100
21-05-03,Valle Aosta,51-100
21-05-10,Valle Aosta,51-100
21-05-17,Valle Aosta,51-100
21-05-24,Valle Aosta,51-100
20-02-17,Lombardia,51-100
20-04-20,PA Bolzano,51-100
20-08-17,PA Bolzano,51-100
20-08-24,PA Bolzano,51-100
20-08-31,PA Bolzano,51-100
20-09-07,PA Bolzano,51-100
20-09-14,PA Bolzano,51-100
20-09-21,PA Bolzano,51-100
20-09-28,PA Bolzano,51-100
21-05-31,PA Bolzano,51-100
21-06-07,PA Bolzano,51-100
21-06-14,PA Bolzano,51-100
21-07-05,PA Bolzano,51-100
20-05-11,PA Trento,51-100
20-05-18,PA Trento,51-100
20-07-20,PA Trento,51-100
20-08-24,PA Trento,51-100
20-09-07,PA Trento,51-100
21-05-31,PA Trento,51-100
21-06-07,PA Trento,51-100
20-05-18,Veneto,51-100
20-05-25,Veneto,51-100
20-06-29,Veneto,51-100
20-07-06,Veneto,51-100
20-07-20,Veneto,51-100
20-03-02,Friuli,51-100
20-04-20,Friuli,51-100
20-04-27,Friuli,51-100
20-05-04,Friuli,51-100
20-05-11,Friuli,51-100
20-08-10,Friuli,51-100
20-08-17,Friuli,51-100
20-08-24,Friuli,51-100
20-08-31,Friuli,51-100
21-05-31,Friuli,51-100
21-06-07,Friuli,51-100
21-06-14,Friuli,51-100
21-06-21,Friuli,51-100
21-06-28,Friuli,51-100
21-07-05,Friuli,51-100
20-02-24,Liguria,51-100
20-03-02,Liguria,51-100
20-05-25,Liguria,51-100
20-06-01,Liguria,51-100
20-06-15,Liguria,51-100
20-07-13,Liguria,51-100
20-07-20,Liguria,51-100
20-07-27,Liguria,51-100
20-08-03,Liguria,51-100
20-08-10,Liguria,51-100
20-08-17,Liguria,51-100
21-05-31,Liguria,51-100
21-06-07,Liguria,51-100
21-06-14,Liguria,51-100
21-06-28,Liguria,51-100
21-07-05,Liguria,51-100
20-06-01,Emilia,51-100
20-06-08,Emilia,51-100
20-06-15,Emilia,51-100
20-03-02,Toscana,51-100
20-05-11,Toscana,51-100
20-05-18,Toscana,51-100
20-06-29,Toscana,51-100
20-07-20,Toscana,51-100
20-07-27,Toscana,51-100
20-08-03,Toscana,51-100
20-08-10,Toscana,51-100
20-03-09,Umbria,51-100
20-03-30,Umbria,51-100
20-04-06,Umbria,51-100
20-08-17,Umbria,51-100
20-08-24,Umbria,51-100
20-08-31,Umbria,51-100
20-09-07,Umbria,51-100
20-09-14,Umbria,51-100
20-09-21,Umbria,51-100
21-05-31,Umbria,51-100
21-06-07,Umbria,51-100
21-06-14,Umbria,51-100
21-06-21,Umbria,51-100
21-06-28,Umbria,51-100
21-07-05,Umbria,51-100
20-05-04,Marche,51-100
20-05-11,Marche,51-100
20-07-27,Marche,51-100
20-08-03,Marche,51-100
20-08-10,Marche,51-100
20-08-17,Marche,51-100
20-08-24,Marche,51-100
20-08-31,Marche,51-100
20-09-21,Marche,51-100
21-06-14,Marche,51-100
21-06-21,Marche,51-100
21-06-28,Marche,51-100
21-07-05,Marche,51-100
20-05-11,Lazio,51-100
20-05-18,Lazio,51-100
20-05-25,Lazio,51-100
20-06-01,Lazio,51-100
20-06-08,Lazio,51-100
20-06-15,Lazio,51-100
20-06-22,Lazio,51-100
20-06-29,Lazio,51-100
20-07-06,Lazio,51-100
20-07-13,Lazio,51-100
20-07-20,Lazio,51-100
20-07-27,Lazio,51-100
20-08-03,Lazio,51-100
20-04-20,Abruzzo,51-100
20-04-27,Abruzzo,51-100
20-05-04,Abruzzo,51-100
20-05-11,Abruzzo,51-100
20-08-03,Abruzzo,51-100
20-08-10,Abruzzo,51-100
20-08-17,Abruzzo,51-100
20-08-24,Abruzzo,51-100
20-08-31,Abruzzo,51-100
20-09-07,Abruzzo,51-100
20-09-14,Abruzzo,51-100
20-09-21,Abruzzo,51-100
21-06-07,Abruzzo,51-100
21-06-14,Abruzzo,51-100
21-06-21,Abruzzo,51-100
21-06-28,Abruzzo,51-100
21-07-05,Abruzzo,51-100
20-03-23,Molise,51-100
20-03-30,Molise,51-100
20-05-04,Molise,51-100
20-10-05,Molise,51-100
21-03-29,Molise,51-100
21-04-05,Molise,51-100
21-04-26,Molise,51-100
21-05-03,Molise,51-100
21-05-10,Molise,51-100
20-03-02,Campania,51-100
20-04-27,Campania,51-100
20-05-04,Campania,51-100
20-05-11,Campania,51-100
20-05-18,Campania,51-100
20-05-25,Campania,51-100
20-06-22,Campania,51-100
20-06-29,Campania,51-100
20-07-13,Campania,51-100
20-07-20,Campania,51-100
20-07-27,Campania,51-100
20-08-03,Campania,51-100
20-04-27,Puglia,51-100
20-05-04,Puglia,51-100
20-05-11,Puglia,51-100
20-05-18,Puglia,51-100
20-07-27,Puglia,51-100
20-08-03,Puglia,51-100
20-08-10,Puglia,51-100
20-03-16,Basilicata,51-100
20-03-23,Basilicata,51-100
20-03-30,Basilicata,51-100
20-09-07,Basilicata,51-100
20-09-21,Basilicata,51-100
20-09-28,Basilicata,51-100
20-10-05,Basilicata,51-100
21-05-31,Basilicata,51-100
21-06-07,Basilicata,51-100
21-06-14,Basilicata,51-100
21-06-21,Basilicata,51-100
21-06-28,Basilicata,51-100
21-07-05,Basilicata,51-100
20-03-09,Calabria,51-100
20-03-30,Calabria,51-100
20-04-06,Calabria,51-100
20-04-13,Calabria,51-100
20-08-10,Calabria,51-100
20-08-24,Calabria,51-100
20-08-31,Calabria,51-100
20-09-07,Calabria,51-100
20-09-14,Calabria,51-100
20-09-21,Calabria,51-100
20-09-28,Calabria,51-100
21-06-28,Calabria,51-100
21-07-05,Calabria,51-100
20-03-02,Sicilia,51-100
20-03-09,Sicilia,51-100
20-04-13,Sicilia,51-100
20-04-20,Sicilia,51-100
20-04-27,Sicilia,51-100
20-05-04,Sicilia,51-100
20-07-20,Sicilia,51-100
20-07-27,Sicilia,51-100
20-03-09,Sardegna,51-100
20-04-13,Sardegna,51-100
20-08-10,Sardegna,51-100
21-06-07,Sardegna,51-100
21-06-14,Sardegna,51-100
21-06-21,Sardegna,51-100
21-06-28,Sardegna,51-100
21-07-05,Sardegna,51-100
20-03-02,Piemonte,101-200
20-05-25,Piemonte,101-200
20-08-10,Piemonte,101-200
20-08-17,Piemonte,101-200
20-08-31,Piemonte,101-200
21-06-14,Piemonte,101-200
21-06-21,Piemonte,101-200
20-03-16,Valle Aosta,101-200
20-03-30,Valle Aosta,101-200
20-10-12,Valle Aosta,101-200
20-11-23,Valle Aosta,101-200
20-11-30,Valle Aosta,101-200
21-03-08,Valle Aosta,101-200
21-03-15,Valle Aosta,101-200
21-03-22,Valle Aosta,101-200
21-04-05,Valle Aosta,101-200
21-04-12,Valle Aosta,101-200
21-04-19,Valle Aosta,101-200
21-04-26,Valle Aosta,101-200
20-07-13,Lombardia,101-200
20-07-20,Lombardia,101-200
20-07-27,Lombardia,101-200
20-03-09,PA Bolzano,101-200
20-03-16,PA Bolzano,101-200
20-03-30,PA Bolzano,101-200
20-04-06,PA Bolzano,101-200
20-04-13,PA Bolzano,101-200
20-10-05,PA Bolzano,101-200
21-04-12,PA Bolzano,101-200
21-04-26,PA Bolzano,101-200
21-05-03,PA Bolzano,101-200
21-05-10,PA Bolzano,101-200
21-05-17,PA Bolzano,101-200
21-05-24,PA Bolzano,101-200
20-03-09,PA Trento,101-200
20-04-13,PA Trento,101-200
20-04-20,PA Trento,101-200
20-04-27,PA Trento,101-200
20-05-04,PA Trento,101-200
20-08-31,PA Trento,101-200
20-09-14,PA Trento,101-200
20-09-21,PA Trento,101-200
20-09-28,PA Trento,101-200
20-10-05,PA Trento,101-200
21-04-26,PA Trento,101-200
21-05-03,PA Trento,101-200
21-05-10,PA Trento,101-200
21-05-17,PA Trento,101-200
21-05-24,PA Trento,101-200
20-02-24,Veneto,101-200
20-05-04,Veneto,101-200
20-05-11,Veneto,101-200
20-07-13,Veneto,101-200
20-07-27,Veneto,101-200
20-08-03,Veneto,101-200
21-06-14,Veneto,101-200
21-06-21,Veneto,101-200
21-06-28,Veneto,101-200
20-03-09,Friuli,101-200
20-03-30,Friuli,101-200
20-04-06,Friuli,101-200
20-04-13,Friuli,101-200
20-09-07,Friuli,101-200
20-09-14,Friuli,101-200
20-09-21,Friuli,101-200
20-09-28,Friuli,101-200
21-05-10,Friuli,101-200
21-05-17,Friuli,101-200
21-05-24,Friuli,101-200
20-05-04,Liguria,101-200
20-05-11,Liguria,101-200
20-05-18,Liguria,101-200
20-08-24,Liguria,101-200
20-08-31,Liguria,101-200
21-05-24,Liguria,101-200
20-02-24,Emilia,101-200
20-05-11,Emilia,101-200
20-05-18,Emilia,101-200
20-05-25,Emilia,101-200
20-06-22,Emilia,101-200
20-06-29,Emilia,101-200
20-07-06,Emilia,101-200
20-07-13,Emilia,101-200
20-07-20,Emilia,101-200
20-07-27,Emilia,101-200
20-08-03,Emilia,101-200
20-08-10,Emilia,101-200
21-06-21,Emilia,101-200
21-06-28,Emilia,101-200
21-07-05,Emilia,101-200
20-04-27,Toscana,101-200
20-05-04,Toscana,101-200
20-08-17,Toscana,101-200
21-06-14,Toscana,101-200
21-06-21,Toscana,101-200
21-06-28,Toscana,101-200
21-07-05,Toscana,101-200
20-03-16,Umbria,101-200
20-03-23,Umbria,101-200
20-09-28,Umbria,101-200
21-05-17,Umbria,101-200
21-05-24,Umbria,101-200
20-03-02,Marche,101-200
20-04-13,Marche,101-200
20-04-20,Marche,101-200
20-04-27,Marche,101-200
20-09-07,Marche,101-200
20-09-14,Marche,101-200
20-09-28,Marche,101-200
21-05-31,Marche,101-200
21-06-07,Marche,101-200
20-03-02,Lazio,101-200
20-04-20,Lazio,101-200
20-04-27,Lazio,101-200
20-05-04,Lazio,101-200
20-08-10,Lazio,101-200
21-06-28,Lazio,101-200
20-03-09,Abruzzo,101-200
20-04-06,Abruzzo,101-200
20-04-13,Abruzzo,101-200
20-09-28,Abruzzo,101-200
21-05-17,Abruzzo,101-200
21-05-24,Abruzzo,101-200
21-05-31,Abruzzo,101-200
20-10-12,Molise,101-200
20-10-19,Molise,101-200
20-12-07,Molise,101-200
20-12-14,Molise,101-200
20-12-21,Molise,101-200
20-12-28,Molise,101-200
21-01-04,Molise,101-200
21-01-11,Molise,101-200
21-01-18,Molise,101-200
21-01-25,Molise,101-200
21-03-01,Molise,101-200
21-03-08,Molise,101-200
21-03-15,Molise,101-200
21-03-22,Molise,101-200
21-04-12,Molise,101-200
21-04-19,Molise,101-200
20-03-09,Campania,101-200
20-04-13,Campania,101-200
20-04-20,Campania,101-200
20-08-10,Campania,101-200
20-03-09,Puglia,101-200
20-04-13,Puglia,101-200
20-04-20,Puglia,101-200
20-08-17,Puglia,101-200
20-08-24,Puglia,101-200
20-08-31,Puglia,101-200
21-06-21,Puglia,101-200
21-06-28,Puglia,101-200
21-07-05,Puglia,101-200
20-10-12,Basilicata,101-200
20-10-19,Basilicata,101-200
20-12-07,Basilicata,101-200
20-12-14,Basilicata,101-200
20-12-21,Basilicata,101-200
21-01-18,Basilicata,101-200
21-01-25,Basilicata,101-200
21-02-01,Basilicata,101-200
21-05-17,Basilicata,101-200
21-05-24,Basilicata,101-200
20-03-16,Calabria,101-200
20-03-23,Calabria,101-200
20-10-05,Calabria,101-200
21-06-14,Calabria,101-200
21-06-21,Calabria,101-200
20-03-30,Sicilia,101-200
20-04-06,Sicilia,101-200
20-08-03,Sicilia,101-200
20-08-10,Sicilia,101-200
20-08-17,Sicilia,101-200
20-08-24,Sicilia,101-200
20-03-16,Sardegna,101-200
20-03-23,Sardegna,101-200
20-03-30,Sardegna,101-200
20-04-06,Sardegna,101-200
20-08-17,Sardegna,101-200
20-08-24,Sardegna,101-200
20-08-31,Sardegna,101-200
20-09-07,Sardegna,101-200
20-09-14,Sardegna,101-200
21-05-10,Sardegna,101-200
21-05-17,Sardegna,101-200
21-05-24,Sardegna,101-200
21-05-31,Sardegna,101-200
20-05-11,Piemonte,201-500
20-05-18,Piemonte,201-500
20-08-24,Piemonte,201-500
20-09-07,Piemonte,201-500
20-09-14,Piemonte,201-500
20-09-21,Piemonte,201-500
21-06-07,Piemonte,201-500
20-10-19,Valle Aosta,201-500
20-10-26,Valle Aosta,201-500
20-11-02,Valle Aosta,201-500
20-11-16,Valle Aosta,201-500
21-03-29,Valle Aosta,201-500
20-06-15,Lombardia,201-500
20-06-22,Lombardia,201-500
20-06-29,Lombardia,201-500
20-07-06,Lombardia,201-500
20-08-03,Lombardia,201-500
20-08-10,Lombardia,201-500
21-06-21,Lombardia,201-500
21-06-28,Lombardia,201-500
20-03-23,PA Bolzano,201-500
20-10-12,PA Bolzano,201-500
21-03-08,PA Bolzano,201-500
21-03-15,PA Bolzano,201-500
21-03-22,PA Bolzano,201-500
21-03-29,PA Bolzano,201-500
21-04-05,PA Bolzano,201-500
21-04-19,PA Bolzano,201-500
20-03-16,PA Trento,201-500
20-03-23,PA Trento,201-500
20-03-30,PA Trento,201-500
20-04-06,PA Trento,201-500
20-10-12,PA Trento,201-500
21-03-29,PA Trento,201-500
21-04-05,PA Trento,201-500
21-04-12,PA Trento,201-500
21-04-19,PA Trento,201-500
20-03-02,Veneto,201-500
20-04-27,Veneto,201-500
20-08-10,Veneto,201-500
20-08-17,Veneto,201-500
20-08-24,Veneto,201-500
20-09-07,Veneto,201-500
21-05-31,Veneto,201-500
21-06-07,Veneto,201-500
21-07-05,Veneto,201-500
20-03-16,Friuli,201-500
20-03-23,Friuli,201-500
20-10-05,Friuli,201-500
20-10-12,Friuli,201-500
21-04-26,Friuli,201-500
21-05-03,Friuli,201-500
20-03-09,Liguria,201-500
20-04-13,Liguria,201-500
20-04-20,Liguria,201-500
20-04-27,Liguria,201-500
20-09-07,Liguria,201-500
20-09-14,Liguria,201-500
20-09-21,Liguria,201-500
20-09-28,Liguria,201-500
21-05-10,Liguria,201-500
21-05-17,Liguria,201-500
20-05-04,Emilia,201-500
20-08-17,Emilia,201-500
20-08-24,Emilia,201-500
20-08-31,Emilia,201-500
20-09-07,Emilia,201-500
20-09-14,Emilia,201-500
20-09-21,Emilia,201-500
21-06-07,Emilia,201-500
21-06-14,Emilia,201-500
20-03-09,Toscana,201-500
20-04-13,Toscana,201-500
20-04-20,Toscana,201-500
20-08-24,Toscana,201-500
